,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,184.0,125.5,23.5,10.5,,,,,,,,,,,,,,
2,33.5,9.0,3.0,1.0,,,,,,,,,,,,,,
3,104.5,30.0,4.0,2.0,,,,,,,,,,,,,,
4,193.5,83.5,22.5,8.0,,,,,,,,,,,,,,
5,115.0,41.0,9.5,4.5,,,,,,,,,,,,,,
6,199.5,51.5,37.0,12.0,,,,,,,,,,,,,,
7,227.0,45.5,16.0,10.5,,,,,,,,,,,,,,
8,15.0,4.5,4.0,3.5,,,,,,,,,,,,,,
9,125.0,39.5,14.0,4.5,,,,,,,,,,,,,,
10,80.0,27.5,5.5,1.5,,,,,,,,,,,,,,
11,14.0,7.0,2.5,1.5,,,,,,,,,,,,,,
12,11.0,2.5,2.5,2.5,,,,,,,,,,,,,,
