,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,96.0,19.0,6.5,3.0,,,,,,,,,,,,,,
2,113.5,28.5,7.5,2.5,,,,,,,,,,,,,,
3,181.5,43.5,7.5,4.5,,,,,,,,,,,,,,
4,162.0,51.0,7.5,3.0,,,,,,,,,,,,,,
5,120.0,38.0,12.0,4.5,,,,,,,,,,,,,,
6,358.5,116.0,21.5,10.5,,,,,,,,,,,,,,
7,679.0,120.5,28.0,9.0,,,,,,,,,,,,,,
8,94.5,62.5,62.0,19.5,,,,,,,,,,,,,,
9,144.0,32.5,10.0,4.5,,,,,,,,,,,,,,
10,101.5,65.0,8.5,3.0,,,,,,,,,,,,,,
11,25.0,10.5,3.5,1.5,,,,,,,,,,,,,,
12,151.0,28.5,5.5,1.5,,,,,,,,,,,,,,
