,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,127.0,43.0,10.0,2.5,4.9,10.9,1.3,14.7,-2.9,0.8,8.0,西南西,19.2,西南西,84.2,,,
2,85.5,22.0,4.5,1.5,4.6,11.4,0.2,19.7,-3.1,0.9 ),5.9 ),西,14.1 ),西,106.7,,,
3,167.5,35.5,6.0,3.5,8.0,15.5,2.6,21.1,-1.6,1.1 ),6.7 ),南西,16.3 ),北北西,152.6,,,
4,151.0,35.5,8.5,2.0,9.8,17.9,3.3,25.2,-1.1,1.2,5.9,西南西,14.1,西北西,203.8,,,
5,124.5,41.0,12.5,5.0,17.6,25.1,11.6,30.2,5.6,0.9,4.9,南南東,12.1,西南西,192.6,,,
6,328.5,119.0,27.5,9.5,21.8,28.2,16.8,33.7,13.7,0.8,3.9,南南東,9.2,東,161.8,,,
7,640.0,106.0,24.5,9.0,22.7,27.3,19.7,33.4,14.9,0.6,5.0,南南西,11.5,南,69.8,,,
8,8.0,4.5,4.0,1.5,26.7,34.6,21.6,37.7,18.3,0.9,5.6,南南東,13.4,南南東,207.9,,,
9,277.0,99.5,37.0,14.5,21.1,27.7,17.1,35.9,10.0,0.8,8.9,南南東,22.6,南南東,126.2,,,
10,87.0,62.0,7.5,1.5,14.8,22.5,10.1,27.6,4.0,0.7,4.1,南南東,10.5,北西,167.6,,,
11,20.5,6.5,2.0,1.0,10.4 ),17.8 ),5.5 ),22.7 ),0.1 ),0.7 ),5.9 ),南南東,12.8 ),南南東,122.1 ),,,
12,93.5,19.0,5.0,2.0,3.3,9.5,-0.3,16.0,-3.7,0.6 ),5.4 ),西南西,15.2 ),西,72.9,,,
