,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,63.0,21.5,7.0,2.5,2.4,7.4,-1.9,10.8,-5.9,1.6,9.8,南南西,19.1,南西,89.6,,,
2,54.5,14.5,6.0,2.0,2.1,8.2,-3.2,15.4,-7.2,1.6,8.2,南南西,15.1,南,125.5 ),,,
3,110.0,17.5,6.5,2.0,5.7 ),12.3 ),-0.5 ),19.2 ),-5.0 ),1.9 ),9.5 ),南西,16.8 ),南南西,158.9,,,
4,160.5,53.5,8.0,2.5,7.6,14.6,0.5,22.1,-4.2,2.0,8.4,南西,15.6,南南西,207.7,,,
5,117.5,31.5,16.5,5.0,15.4,21.6,8.9,27.1,0.7,1.8,8.1,南西,12.8,南南西,186.6,,,
6,217.0,73.5,17.5,8.0,19.8,25.1,14.6,30.3,9.4,1.9,8.5,南西,15.4,南南西,148.2,,,
7,394.0,81.5,26.0,6.0,21.3,24.9,18.3,29.9,14.2,1.6,7.3,南西,13.9,南西,61.2,,,
8,38.5,38.5,37.0,11.0,24.8,31.3,19.7,33.7,17.0,1.5,7.0,南西,13.5,南南西,205.2,,,
9,163.5,44.0,36.5,10.5,19.6,24.9,15.2,31.6,7.8,1.7,9.1,南西,18.9,南西,128.4,,,
10,81.0,45.0,10.0,3.0,12.3,18.6,7.0,23.4,-1.0,1.5,7.6,北東,11.6,北東,172.1,,,
11,26.5,19.5,3.0,1.0,7.8 ),15.2 ),1.6 ),22.0 ),-3.0 ),1.3 ),8.0 ),南西,13.4 ),南西,154.0 ),,,
12,33.5,12.5,5.5,1.0,1.2,7.2,-3.5,13.0,-6.0,1.6 ),7.6 ),南南西,14.6 ),南西,108.9,,,
