,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,68.5,21.0,5.0,2.0,,,,,,,,,,,,,,
2,65.5,18.5,6.0,2.0,,,,,,,,,,,,,,
3,113.5,22.5,5.5,2.0,,,,,,,,,,,,,,
4,158.5,50.0,11.5,2.5,,,,,,,,,,,,,,
5,84.0,26.0,7.5,3.0,,,,,,,,,,,,,,
6,278.0,88.5,24.5,10.5,,,,,,,,,,,,,,
7,509.0,97.0,23.0,5.5,,,,,,,,,,,,,,
8,4.5,3.5,3.5,3.5,,,,,,,,,,,,,,
9,203.0,51.0,33.0,22.5,,,,,,,,,,,,,,
10,89.5,51.0,8.5,3.5,,,,,,,,,,,,,,
11,31.0,14.5,3.5,1.0,,,,,,,,,,,,,,
12,59.5,16.5,8.5,2.5,,,,,,,,,,,,,,
