,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,日平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪合計 (cm),最深積雪,天気概況昼,天気概況夜
1,972.0,1024.0,0.0,0.0,0.0,0.5,7.1,-4.1,73.0,39.0,1.6,4.0,北東,6.4,東北東,7.5,,,晴後一時曇,曇時々晴一時雪
2,972.0,1023.6,0.0,0.0,0.0,2.0,6.5,-0.6,85.0,64.0,1.7,5.2,東,7.2,東,3.4,,,曇一時雪、みぞれを伴う,晴後時々曇
3,967.3,1018.5,0.5,0.5,0.5,2.8,8.3,0.3,82.0,52.0,1.5,4.0,東,5.7,東北東,4.8,,,曇後晴一時雨,みぞれ時々雨
4,965.8,1017.2,3.0,2.5,0.5,1.9,4.8,0.0,88.0,66.0,2.2,4.3,東,6.5,東,2.1,3.0,3.0,曇時々みぞれ,雪時々みぞれ
5,972.9,1024.9,5.5,2.0,0.5,0.1,2.1,-1.9,94.0,81.0,3.0,6.4,東北東,10.4,東北東,1.6,11.0,12.0,雪時々みぞれ一時曇,曇一時雪
6,977.4,1029.6,,,,1.0,5.3,-3.6,80.0,57.0,1.8,5.0,東北東,7.6,東,8.0,,3.0,晴時々曇,晴時々曇
7,972.0,1023.6,1.0,0.5,0.5,2.1,5.6,-2.5,85.0,60.0,2.6,5.6,西南西,9.4,南西,1.4,,,曇後雨、みぞれを伴う,雨後曇
8,952.7,1002.5,10.5,6.0,1.5,6.2,11.2,1.4,91.0,56.0,2.1,6.2,西南西,10.5,西北西,1.0,,,雨時々曇、みぞれを伴う,雨時々晴、霧を伴う
9,962.2,1012.7,0.0,0.0,0.0,5.2,8.5,3.0,74.0,55.0,3.4,7.6,東,12.2,東,4.3,,,晴時々曇一時雨,雨時々曇一時晴、みぞれを伴う
10,967.1,1018.3,0.0,0.0,0.0,2.8,6.9,-1.1,82.0,57.0,2.1,5.2,北東,9.6,東北東,2.7,,,曇時々雨一時晴、みぞれを伴う,晴、霧を伴う
11,964.9,1016.1,,,,2.3,8.6,-3.0,80.0,46.0,1.9,6.2,北東,9.5,北東,7.7,,,晴後一時曇、霧を伴う,曇時々晴一時みぞれ
12,961.0,1011.8,0.0,0.0,0.0,3.0,7.1,0.5,85.0,60.0,1.1,3.2,北北西,5.0,北,0.9,,,曇後晴一時雨,晴後一時みぞれ
13,962.5,1013.5,0.0,0.0,0.0,2.5,8.5,-0.5,87.0,60.0,1.6,5.8,北北西,9.6,北北西,4.5,,,曇時々晴一時雨、みぞれを伴う,晴、みぞれを伴う
14,969.4,1020.8,0.0,0.0,0.0,2.3,5.7,-1.3,85.0,68.0,1.3,3.4,東,5.2,西南西,1.9,,,曇時々晴,曇時々みぞれ一時晴
15,967.7,1019.0,4.0,1.5,1.0,2.7,8.0,-0.7,88.0,59.0,1.7,9.3,西北西,12.4,西北西,1.8,,,曇時々雨一時みぞれ,晴一時みぞれ
16,971.7,1023.6,,,,1.0,5.2,-2.0,81.0,54.0,1.7,4.2,南西,6.6,北東,4.9,,,曇時々晴,曇時々晴
17,969.6,1021.3,,,,1.4,5.5,-1.7,79.0,63.0,1.7,5.2,北,8.2,北北東,4.0,,,曇後時々晴,曇一時晴
18,964.1,1015.4,0.0,0.0,0.0,1.5,4.4,-1.4,73.0,49.0,2.8,6.1,北,8.9,北東,0.5,,,曇,晴後曇一時雪
19,964.0,1014.9,0.0,0.0,0.0,3.5,7.0,-0.5,65.0,41.0,2.0,4.8,西北西,7.0,西南西,5.3,,,曇時々晴,晴後曇一時雪
20,963.2,1014.1,0.0,0.0,0.0,3.7,8.8,0.1,76.0,56.0,1.9,5.3,東,8.5,東,6.2,,,晴時々曇一時みぞれ,晴後みぞれ一時雨
21,972.7,1024.6,0.0,0.0,0.0,0.9,3.3,-1.9,86.0,69.0,3.3,9.0,東,13.3,東北東,2.6,,,曇時々みぞれ一時雪,晴一時曇
22,976.3,1028.3,,,,1.2,8.5,-4.7,77.0,47.0,1.3,4.0,東北東,5.9,東北東,8.2,,,晴時々曇,曇時々晴
23,971.2,1022.7,2.0,1.0,0.5,2.8,5.6,-0.6,94.0,88.0,0.9,2.3,東北東,3.3,東北東,0.0,,,雨時々みぞれ一時雪,曇一時雨
24,974.2,1025.3,0.0,0.0,0.0,5.2,11.6,1.4,83.0,51.0,2.9,8.4,北,14.1,北,3.4,,,曇時々雨一時晴,曇一時みぞれ
25,978.9,1030.9,,,,2.0,5.3,0.1,61.0,41.0,2.8,5.5,北,9.0,北北東,5.2,,,曇時々晴,曇
26,976.0,1027.8,,,,2.6,9.4,-1.2,67.0,31.0,2.5,9.2,北北西,14.4,北北西,5.8,,,曇時々晴,曇
27,973.4,1025.0,0.5,0.5,0.5,2.5,5.8,-0.4,73.0,39.0,3.4,8.5,西,14.5,西,0.0,,,曇,みぞれ時々曇一時雪
28,964.1,1014.5,0.5,0.5,0.5,6.5,10.0,1.9,70.0,61.0,10.0,14.2,西,22.3,西,1.0,,,曇時々雨一時みぞれ,雨時々曇一時晴
29,955.6,1005.2,1.0,1.5,0.5,7.7,10.9,5.5,85.0,73.0,2.3,8.2,西,12.7,西,0.0,,,曇一時雨,曇一時雨後一時晴
30,951.8,1001.6,0.0,0.0,0.0,5.8,12.1,1.8,77.0,38.0,2.5,7.1,北,10.4,北,6.3,,,晴時々曇,曇時々みぞれ一時晴
31,958.4,1009.4,0.0,0.0,0.0,1.6,5.4,-0.8,81.0,57.0,3.5,7.2,北,11.4,北,5.5,,,曇時々雪一時晴、みぞれを伴う,曇時々雪一時晴
