,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,115.5,29.0,8.5,2.5,3.8,8.3,-0.3,14.4,-5.9,1.4 ),8.7 ),北西,17.7 ),西,75.6,0.0,0.0,0.0
2,111.0,30.0,7.0,2.0,3.2,9.0,-2.0,16.9,-6.4,1.4 ),6.9 ),西北西,13.5 ),北西,106.7,22.0,10.0,11.0
3,176.5,36.0,6.0,3.0,6.4 ),13.0 ),0.2 ),20.2 ),-4.5 ),1.6,7.9,西北西,16.0,西北西,150.4,9.0,8.0,6.0
4,190.5,49.5,8.5,2.0,8.0,14.9,0.9,23.6,-3.8,2.1,9.6,北西,17.4,北北西,218.3,0.0,0.0,0.0
5,103.5,41.0,9.0,6.0,16.2,22.6,9.5,28.3,2.5,1.6,6.6,西北西,12.6,西,200.8,0.0,0.0,0.0
6,315.5,84.5,22.5,13.0,20.8,26.7,15.2,32.1,10.8,1.4,5.6,北西,14.2,西,180.2,0.0,0.0,0.0
7,583.5,102.0,26.0,7.5,22.0,25.7,19.1,31.4,14.0,1.4,6.8,南東,14.3,南,69.4,0.0,0.0,0.0
8,25.5,21.5,21.5,7.5,25.3,32.2,20.0,35.5,16.5,1.4,6.3,南東,13.5,南東,233.6,0.0,0.0,0.0
9,235.5,82.0,37.5,9.5,20.0,25.5,15.5,33.3,7.7,1.7,9.4,南南東,22.2,南東,117.7,0.0,0.0,0.0
10,95.5,68.5,7.5,2.5,13.0,19.8,7.1,25.0,-0.7,1.3,6.2,西北西,11.0,北西,174.4,0.0,0.0,0.0
11,24.5,8.5,2.5,1.0,8.5 ),15.6 ),1.9 ),21.8 ),-3.5 ),1.2 ),6.4 ],北西,14.2 ),南南東,127.8 ),0.0,0.0,0.0
12,80.0,17.5,4.0,1.0,2.3,7.6,-2.3,13.0,-6.0,1.3,6.8,西,13.8,北西,77.4,41.0,16.0,19.0
