,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,182.0,52.0,12.5,3.5,,,,,,,,,,,,,,
2,152.5,30.5,8.0,2.5,,,,,,,,,,,,,,
3,242.0,53.0,8.5,3.5,,,,,,,,,,,,,,
4,179.0,41.0,7.5,2.0,,,,,,,,,,,,,,
5,137.0,37.5,16.0,3.5,,,,,,,,,,,,,,
6,455.5,141.5,33.5,13.0,,,,,,,,,,,,,,
7,721.0,100.5,26.5,9.5,,,,,,,,,,,,,,
8,63.5,43.5,43.5,19.0,,,,,,,,,,,,,,
9,383.5,124.0,33.0,9.5,,,,,,,,,,,,,,
10,110.5,77.5,8.0,2.0,,,,,,,,,,,,,,
11,57.0,15.0,3.5,1.0,,,,,,,,,,,,,,
12,153.5,34.5,5.5,1.5,,,,,,,,,,,,,,
