,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,129.5,26.0,6.0,2.5,2.7,6.5,-0.8,11.5,-5.5,1.3 ),8.4 ),西南西,18.6 ),西南西,58.3,5.0,4.0,4.0
2,151.5,32.5,8.0,2.5,2.0,7.3,-2.8,16.7,-11.1,1.4 ),8.5 ),西南西,18.5 ),西,97.7,53.0,17.0,26.0
3,194.0,37.5,14.0,7.0,5.4,11.8,-0.4,18.9,-4.8,1.6 ),8.4 ),東南東,18.6 ),西南西,144.6,41.0,21.0,19.0
4,187.0,53.5,10.5,2.5,7.0,14.0,0.1,23.8,-4.3,1.8,7.6,西南西,15.9,北,201.1,2.0,2.0,2.0
5,94.5,42.0,10.5,5.5,15.2,21.5,9.0,27.3,1.7,1.5,7.0,東南東,16.3,西南西,175.9,0.0,0.0,0.0
6,347.5,119.5,18.5,8.0,19.8,25.1,14.7,29.3,9.3,1.4,7.8,南東,18.3,西南西,174.2,0.0,0.0,0.0
7,527.0,92.0,19.5,7.0,21.1,24.5,18.6,29.1,14.0,1.4,7.4,南東,17.0,南南東,46.0,0.0,0.0,0.0
8,44.5,24.0,23.0,16.5,24.5,30.5,19.7,33.8,16.0,1.3,6.7,南南東,14.8,南,217.1,0.0,0.0,0.0
9,177.0,37.0,14.5,6.0,19.1,24.1,14.8,31.5,6.2,1.7,11.3,東南東,23.9,東,111.0,0.0,0.0,0.0
10,90.0,57.0,9.5,5.0,11.9,18.2,6.4,23.1,-0.8,1.2,6.8,東南東,13.2,西南西,165.5,0.0,0.0,0.0
11,32.0,9.5,4.0,2.0,8.0 ),14.5 ),2.2 ),23.5 ),-3.4 ),1.2 ),7.2 ),南,15.2 ),南,122.7 ),0 ),0 ),0 )
12,151.5,28.0,4.5,1.5,1.0,5.8,-2.6,12.3,-6.1,1.1 ),6.6 ),西,15.6 ),北西,62.9,140.0,35.0,57.0
