,現地平均気圧 (hPa),海面平均気圧 (hPa),降水量合計 (mm),最大日降水量 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均湿度 (%),最小湿度 (%),平均風速 (m/s),最大風速 (m/s),最大風速の風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),全天日射量 (MJ/M**2),降雪合計 (cm),降雪の日合計の最大 (cm),最深積雪,雲量,雪日数,霧日数,雷日数
1,1019.6,1020.2,92.5,25.5,20.0,12.5,8.5,11.9,5.4,16.2,1.3,66.0,33.0,2.8,18.1,西南西,26.2,西南西,130.4,,,,,,1.0,0.0,
2,1022.4,1023.0,62.0,17.5,8.0,3.0,8.0,11.9,4.4,17.2,-0.1,64.0,23.0,2.8,14.1,西,21.1,西北西,161.9,,,,,,3.0,0.0,
3,1016.0,1016.6,124.5,42.0,8.0,2.5,11.1,15.1,7.3,19.6,2.1,65.0,21.0,2.7,12.5,西,17.4,西,188.0,,,,,,2.0,0.0,
4,1015.3,1015.9,146.0,39.0,23.5,6.0,13.2,17.3,8.9,21.8,4.5,57.0,15.0,3.2,11.0,西南西,18.3,北,241.8,,,,,,0.0,0.0,
5,1010.7,1011.3,172.0,54.5,26.0,6.5,19.6,23.7,16.1,26.8,12.4,70.0,22.0,2.5,13.6,西南西,16.4,西南西,221.0,,,,,,0.0,1.0,
6,1006.9,1007.5,259.0,88.5,34.5,16.5,23.5,27.1,20.5,30.3,17.9,77.0,33.0,2.3,12.4,南南西,17.3,南南西,181.5,,,,,,0.0,0.0,
7,1007.9,1008.5,485.0,100.5,30.0,18.5,24.9,27.7,22.7,32.2,18.5,84.0,51.0,2.4,12.5,南,22.0,南,99.5,,,,,,0.0,0.0,
8,1010.5,1011.1,0.0,0.0,0.0,0.0,29.3,33.4,26.2,36.1,24.5,71.0,42.0,2.4,11.1,南西,12.8,南西,279.8,,,,,,0.0,0.0,
9,1010.2,1010.8,169.5,51.5,18.0,10.5,24.9,28.6,21.9,34.2,17.3,69.0,32.0,2.8,14.1,南,23.6,南,155.7,,,,,,0.0,0.0,
10,1017.0,1017.6,80.0,58.5,10.0,2.5,19.0,23.0,15.6,28.5,9.2,64.0,30.0,2.7,9.3,北東,16.0,北東,199.1,,,,,,0.0,0.0,
11,1022.0,1022.6,33.0,23.0,5.5,2.5,14.6,18.5,10.6,24.9,5.7,67.0,29.0,2.4,11.0,南西,15.4,南西,189.1,,,,,,0.0,0.0,
12,1021.8,1022.4,36.5,13.0,5.5,2.0,7.9,11.8,4.3,15.7,0.2,63.0,32.0,2.8,12.0,西南西,16.9,北西,154.7,,,,,,2.0,0.0,
