,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,67.5,20.0,5.0,2.0,4.8,9.7,1.2,13.5,-2.2,1.6,10.0,西,18.8,西北西,78.4,,,
2,62.5,17.0,5.5,2.0,4.4,10.4,-0.1,17.9,-3.8,1.8 ),9.1 ),西北西,14.8 ),西北西,108.5,,,
3,122.0,25.0,6.0,3.0,8.1 ),15.0 ),2.5 ),21.5 ),-1.4 ),2.0 ),10.6 ),西北西,21.2 ),西北西,145.8 ),,,
4,146.0,46.0,8.5,3.0,10.0,17.3,3.4,25.5,-0.9,2.3 ],8.0 ],西北西,13.1 ],北西,225.6,,,
5,106.0,39.0,12.0,5.5,17.8,24.5,11.9,30.1,5.1,2.0 ),8.3 ),西北西,14.9 ),西,191.7,,,
6,305.0,77.0,36.0,18.0,22.4,28.1,17.5,32.9,13.4,1.7,7.4,東北東,12.5,南南東,168.7,,,
7,569.0,106.5,24.0,15.5,23.5,27.6,20.6,32.9,16.0,1.6,6.3,西北西,9.5,西南西,71.5,,,
8,49.0,26.5,26.5,10.5,27.3,34.4,22.5,37.6,19.9,2.0,9.6,北北東,19.0,北,223.8,,,
9,163.5,32.0,16.0,11.5,22.0,27.7,18.0,35.4,11.0,2.3,11.0,南南東,23.1,南南東,134.9,,,
10,89.5,51.5,7.5,3.5,14.9,21.6,10.5,26.7,3.8,1.9,8.7,西北西,13.3,北西,155.4,,,
11,21.5,12.0,2.5,1.0,10.4 ),17.3 ),5.6 ),25.7 ),1.0 ),1.7 ),7.4 ),南,13.6 ),南,125.7 ),,,
12,67.5,14.0,6.5,1.5,3.4,9.0,-0.1,14.7,-3.0,1.7 ),9.7 ),西北西,16.5 ),西北西,84.2,,,
