,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,66.5,21.5,7.0,3.5,6.1,11.0,2.0,14.7,-2.2,1.2,8.0,西,15.7,西南西,113.5,,,
2,47.0,12.5,5.0,1.5,5.8,11.5,1.1,18.6,-2.7,1.2,7.5,西,16.1,西北西,134.0 ),,,
3,93.0,15.5,6.0,1.5,9.5,15.5,3.9,21.4,-1.2,1.4,7.6,西,17.6,西北西,184.7,,,
4,161.5,52.0,9.5,2.5,11.8,18.0,5.6,25.3,1.0,1.6,8.2,北西,16.0,北,215.4,,,
5,99.0,28.0,13.0,3.0,19.3,25.1,13.8,30.0,7.2,1.2,6.3,西,13.2,南西,214.7,,,
6,204.0,90.0,17.5,5.0,23.3,28.4,18.9,32.7,15.2,1.0,5.0,西,11.1,西,170.8,,,
7,436.5,64.0,59.0,16.0,24.4,28.5,21.5,34.6,17.1,1.0,6.9,西南西,13.5,西,86.7,,,
8,24.0,13.0,13.0,5.5,28.8,35.1,24.1,37.9,21.9,1.0,5.5,西南西,11.3,北西,265.0,,,
9,115.5,36.5,10.0,4.5,23.8,29.1,19.9,36.3,13.4,1.2,6.5,南,15.6,南南西,152.2,,,
10,86.0,45.5,8.5,3.0,16.9,22.5,12.1,27.1,5.5,1.0,6.5,西,12.2,西南西,170.7,,,
11,32.5,26.5,3.5,1.0,11.8,18.0,6.6,24.5,2.0,1.0,6.5,西,12.5,北西,169.4,,,
12,26.0,11.5,5.0,1.5,5.4,10.8,0.8,15.7,-3.2,1.6,8.9,西,17.6,西,153.4,,,
