,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,75.0,25.0,8.5,4.0,,,,,,,,,,,,,,
2,53.0,14.5,5.0,1.5,,,,,,,,,,,,,,
3,128.5,28.5,6.5,2.0,,,,,,,,,,,,,,
4,184.5,73.5,16.5,4.0,,,,,,,,,,,,,,
5,112.5,27.5,13.0,4.0,,,,,,,,,,,,,,
6,276.5,110.5,21.0,6.5,,,,,,,,,,,,,,
7,542.5,102.5,25.5,8.0,,,,,,,,,,,,,,
8,17.0,10.5,10.5,6.0,,,,,,,,,,,,,,
9,138.0,35.5,11.5,6.0,,,,,,,,,,,,,,
10,75.5,47.0,7.0,2.5,,,,,,,,,,,,,,
11,31.0,16.5,4.0,2.0,,,,,,,,,,,,,,
12,37.0,16.0,8.0,2.0,,,,,,,,,,,,,,
