,降水量合計 (mm),降水量日最大 (mm),1時間最大降水量 (mm),10分間最大降水量 (mm),日平均気温,日最高気温,日最低気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風速風向,最大瞬間風速 (m/s),最大瞬間風速風向,日照時間 (h),降雪の合計 (cm),日降雪の最大 (cm),最深積雪 (cm)
1,69.5,22.5,7.5,3.0,,,,,,,,,,,,,,
2,50.5,11.5,5.5,2.0,,,,,,,,,,,,,,
3,104.5,18.5,6.0,1.5,,,,,,,,,,,,,,
4,180.0,48.5,16.0,6.0,,,,,,,,,,,,,,
5,112.5,29.0,11.5,3.0,,,,,,,,,,,,,,
6,235.0,91.0,18.5,6.0,,,,,,,,,,,,,,
7,405.0,91.0,26.5,10.0,,,,,,,,,,,,,,
8,36.5,13.5,13.5,10.5,,,,,,,,,,,,,,
9,150.5,31.0,17.5,12.5,,,,,,,,,,,,,,
10,85.5,49.5,13.5,5.5,,,,,,,,,,,,,,
11,24.0,16.5,3.0,1.0,,,,,,,,,,,,,,
12,40.5,17.5,7.0,1.5,,,,,,,,,,,,,,
